req_id,wbs_id,test_case,verification_status
REQ-001,,,Candidate
REQ-002,,,Candidate
REQ-003,,,Candidate
REQ-004,,,Candidate
REQ-005,,,Candidate
REQ-006,,,Candidate
REQ-007,,,Candidate
REQ-008,,,Candidate
REQ-009,,,Candidate
REQ-010,,,Candidate
REQ-011,,,Candidate
REQ-012,,,Candidate
REQ-013,,,Candidate
REQ-014,,,Candidate
REQ-015,,,Candidate
REQ-016,,,Candidate
REQ-017,,,Candidate
REQ-018,,,Candidate
REQ-019,,,Candidate
REQ-020,,,Candidate
REQ-021,,,Candidate
REQ-022,,,Candidate
REQ-023,,,Candidate
REQ-024,,,Candidate
REQ-025,,,Candidate
REQ-026,,,Candidate
REQ-027,,,Candidate
REQ-028,,,Candidate
REQ-029,,,Candidate
REQ-030,,,Candidate
REQ-031,,,Candidate
REQ-032,,,Candidate
REQ-033,,,Candidate
REQ-034,,,Candidate
REQ-035,,,Candidate
REQ-036,,,Candidate
